item_id;published;content;channel;content_type;link;category;campaign;assigned_tags;likes;comments;shares;reach
mercedesbenztv|crVWMCqrb-I;31.12.2017 00:00;"The brand-new Mercedes-Benz A-Class (2018): Winter Test | Trailer
The brand-new Mercedes-Benz A-Class (2018) is finally there after more than four years of meticulous development work and testing. Now the new A-Class is completing its last extensive test drives in wintry Sweden. Testing in the climate tunnel is also a key aspect of the winter testing. These challenging testing cycles focus on the vehicle as a whole as well as the new engines. 

►Subscribe to the channel now:
http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

Did you know that the success story of the compact cars from Mercedes-Benz already began 20 years ago, with the launch of the first A-Class? More than 5,555,555 Mercedes-Benz compact cars have been delivered worldwide since March 1997 – of which three million alone were A-Class models.

► The interior design of the new A-Class:
http://mb4.me/a-class-yt

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More videos featuring the A-Class:
https://www.youtube.com/playlist?list=PLEC4993BA5665DBF2

► More interesting playlists:
Joyful Anticipation: https://www.youtube.com/playlist?list=PL0ORtgsuktflZkFR0ofRglHrNuOC2Xuq5
Design: https://www.youtube.com/playlist?list=PLB0A8B07CEA483F0B
Grow Up: https://www.youtube.com/playlist?list=PL0ORtgsuktfm07lDGsDKt6LGkRj5QlMPS

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=crVWMCqrb-I;a-class;NULL;a-class;830;49;n/a;130010
6604386669|10154907119931670;01.01.2017 02:00;"One highlight of the optional Driving Assistance package in the Mercedes-Benz E-Class is the DRIVE PILOT system, the next step along the road to autonomous driving. As the Distance Pilot DISTRONIC on motorways and country roads, it is not only able to keep the car the correct distance behind vehicles in front automatically, it can also follow them at a speed of up to 210 km/h for the first time.

▶ http://mb4.me/The_NewE-Class";FACEBOOK;video;https://facebook.com/6604386669/posts/10154907119931670;e-class sedan;Feature Drive E-Class;e-class sedan;11362;54;312;1039961
25749975|1417869646551795550;01.01.2017 04:00;The best car to start into a new year? A Mercedes-Benz 300 SL Coupe! Simply the best or nothing. Photo by @mercedes_benz_klubben_sverige #Mercedes #MBCar #MBClassic #MercedesBenz #Luxury #Lifestyle #Cartastic #InstaCar;INSTAGRAM;image;https://www.instagram.com/p/BOtSO5sh0de/;classic;NULL;classic;148886;228;n/a;1954612
6604386669|10154911614996670;01.01.2017 09:02;"January 6, 11 a.m. PST, Ola Källenius & Roger Atkins will discuss everything on Electric Drive and the opportunities of e-mobility with Guy Kawasaki in their #CES2017 inspiration talk.
Got any questions? Leave them right here in the comment section!";FACEBOOK;video;https://facebook.com/6604386669/posts/10154911614996670;innovation;CES 2017;innovation, trade show, Livestream;5461;580;224;1307804
54502344|947164198848655360;30.12.2017 17:55;"An appearance, a proposition, a presentation. 
?? Niels Stolte #MBsocialcar #EClass https://t.co/Hb6ARMCZUY";TWITTER;photo;https://t.co/Hb6ARMCZUY;e-class sedan;#MBsocialcar;e-class sedan;1073;9;153;103995
5383634|s6352902153392259072;30.12.2017 17:05;The new Mercedes-Benz GLC F?CELL is the next milestone on the road to emission-free driving. Learn more about it here with Mercedes-Benz To Go: http://mb4.me/GLC_CES;LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6352902153383878656;GLC suv;NULL;GLC suv;86;1;15;23753
25749975|1418081136252578274;01.01.2017 11:01;"The best time to plan a new adventure is now. â­ï¸ Photo shot by @jameljamen.
_______________________________
#MercedesBenz #GClass #GWagon #mbfanphoto #familytravel #roadtrips #adventurer #adventuremobile #readyfor2017 #whileinbetween";INSTAGRAM;image;https://www.instagram.com/p/BOuCUe1BGni/;g-class suv;NULL;g-class suv;115387;135;n/a;1810959
54502344|947106290039435264;30.12.2017 14:05;The new #CLS (2018) pioneers the new design idiom of Mercedes-Benz, which is recognisable by its clear contours and… https://t.co/oj3UFz9HYg;TWITTER;NULL;https://t.co/oj3UFz9HYg;mercedes-benz;LA Auto Show 2017;trade show, mercedes-benz, CLS coupé, tradeshow_pressmaterial;231;4;43;65507
6604386669|10154912371481670;01.01.2017 13:04;"January 6, 12 p.m. PST, Guy Kawasaki welcomes Sajjad Khan & NVIDIA Co-Founder Jen-Hsun Huang for an inspiration talk at #CES2017. The will discuss connectivity, machine learning, user experience and more.
If you have any questions for them, please write them into the comments!";FACEBOOK;video;https://facebook.com/6604386669/posts/10154912371481670;innovation;CES 2017;innovation, trade show, Livestream;4244;404;130;1185468
54502344|947015920227983361;30.12.2017 08:06;After more than four years of meticulous development work and testing, the new #AClass is completing its last exten… https://t.co/RqE4WrzqoH;TWITTER;NULL;https://t.co/RqE4WrzqoH;a-class;NULL;a-class;832;19;154;102565
25749975|1418170593760959898;01.01.2017 13:58;"High on emotion! ð Photo shot by @razkrog.
________________________________
#MercedesBenz #MercedesAMG #AMG #SClass #mbfanphoto #mbphotopass #Roadtrip #whileinbetween #scenicdrive #roadsideamerica";INSTAGRAM;image;https://www.instagram.com/p/BOuWqQoBt2a/;s-class cabrio;NULL;AMG, s-class cabrio, Photo Pass;129904;142;n/a;1842764
